"TARCODIGO","TARSALDOS","TARFECHA"
"2007278","0","20181022182553"
"2007030","0","20181022182553"
"2006239","0","20181022182553"
"2013180","0","20181022182553"
"2006232","0","20181022182553"
"2008243","0","20181022182553"
"2007155","145.12","20181022182553"
"2009207","0","20181022182553"
"2008286","0","20181022182553"
"2010180","0","20181022182553"
"2009261","0","20181022182553"
"2006246","0","20181022182553"
"2017149","0","20181022182553"
"2002062","26.5","20181022182553"
"2017167","0","20181022182553"
"2006219","0","20181022182553"
"2010172","0","20181022182553"
"2014037","0","20181022182553"
"2013088","0","20181022182553"
"2008302","0","20181022182553"
"2009228","0","20181022182553"
"2015032","0","20181022182553"
"2015009","0","20181022182553"
"2005085","0","20181022182553"
"2013084","0","20181022182553"
"2013073","0","20181022182553"
"2017172","0","20181022182553"
"2010238","0","20181022182553"
"2011026","0","20181022182553"
"2010188","0","20181022182553"
"2010190","0","20181022182553"
"2010117","0","20181022182553"
"2011292","0","20181022182553"
"2012004","0","20181022182553"
"2006168","0","20181022182553"
"2006072","0","20181022182553"
"2010226","0","20181022182553"
"2010146","0","20181022182553"
"2014008","0","20181022182553"
"2008132","0","20181022182553"
"2010096","0","20181022182553"
"2010121","0","20181022182553"
"2010031","0","20181022182553"
"2008269","202.13","20181022182553"
"2014026","0","20181022182553"
"2011236","0","20181022182553"
"2009219","0","20181022182553"
"2010011","0","20181022182553"
"2013158","0","20181022182553"
"2014059","0","20181022182553"
"2008271","0","20181022182553"
"2012285","0","20181022182553"
"2008288","0","20181022182553"
"2017143","0","20181022182553"
"2017142","0","20181022182553"
"2006078","0","20181022182553"
"2014033","0","20181022182553"
"2008144","0","20181022182553"
"2008143","0","20181022182553"
"2011219","0","20181022182553"
"2003037","0","20181022182553"
"2011269","0","20181022182553"
"2007266","0","20181022182553"
"2007163","0","20181022182553"
"2007160","0","20181022182553"
"2010288","0","20181022182553"
"2008106","0","20181022182553"
"2009008","0","20181022182553"
"2008024","0","20181022182553"
"2011295","0","20181022182553"
"2011296","0","20181022182553"
"2017156","0","20181022182553"
"2012334","0","20181022182553"
"2014032","0","20181022182553"
"2009234","0","20181022182553"
"2008036","0","20181022182553"
"2008037","0","20181022182553"
"2013137","0","20181022182553"
"2010034","81.76","20181022182553"
"2008198","0","20181022182553"
"2009189","41.05","20181022182553"
"2010232","5.71","20181022182553"
"2013101","0","20181022182553"
"2011331","0","20181022182553"
"2008244","0","20181022182553"
"2005213","0","20181022182553"
"2012283","0","20181022182553"
"2006225","0","20181022182553"
"2005042","0","20181022182553"
"2008279","0","20181022182553"
"2010214","0","20181022182553"
"2012310","0","20181022182553"
"2014058","0","20181022182553"
